pr_number,lines_added,lines_deleted,comments,review_comments,avg_review_comments,state,merged,accepted
25608,0,2,2,0,0.0,closed,False,False
25607,1,0,15,0,0.0,closed,True,True
25606,1,0,0,0,0.0,closed,True,True
25605,2,0,0,0,0.0,closed,False,False
25604,2,0,0,0,0.0,closed,True,True
25603,8,8,5,0,0.0,closed,True,True
25602,8,8,0,0,0.0,closed,True,True
25601,2,1,0,0,0.0,closed,True,True
25600,5,0,29,0,0.0,closed,False,False
25599,2,0,0,0,0.0,closed,True,True
25598,3,0,2,0,0.0,closed,True,True
25597,2,1,0,0,0.0,closed,True,True
25596,0,1,2,0,0.0,closed,True,True
25595,1,0,13,0,0.0,closed,True,True
25594,3,2,5,0,0.0,closed,False,False
25593,0,1,0,0,0.0,closed,True,True
25592,1,0,0,0,0.0,closed,True,True
25591,1,0,0,0,0.0,closed,True,True
25590,1,1,0,0,0.0,closed,True,True
25589,2,4,0,0,0.0,closed,False,False
25588,1,0,0,0,0.0,closed,True,True
25587,0,1,43,0,0.0,closed,True,True
25586,1,1,1,0,0.0,closed,True,True
25585,0,0,0,0,0.0,closed,True,True
25584,1,1,0,0,0.0,closed,True,True
25583,1,1,10,0,0.0,closed,True,True
25582,2,1,2,0,0.0,closed,True,True
25581,1,0,1,0,0.0,closed,True,True
25580,1,1,1,0,0.0,closed,True,True
25579,76,0,78,2,1.0,closed,False,False
25578,1,0,0,0,0.0,closed,True,True
25577,1,1,1,0,0.0,closed,False,False
25576,0,0,3,0,0.0,closed,True,True
25575,1,1,0,0,0.0,closed,True,True
25574,2,0,0,0,0.0,closed,True,True
25573,1,0,10,0,0.0,closed,True,True
25572,1,1,0,0,0.0,closed,True,True
25571,5,0,7,0,0.0,closed,False,False
25570,14,14,0,0,0.0,closed,True,True
25569,2,0,3,0,0.0,closed,True,True
25568,1,0,1,0,0.0,closed,True,True
25567,1,0,0,0,0.0,closed,True,True
25566,3,0,10,0,0.0,closed,True,True
25565,95,0,1,0,0.0,closed,False,False
25564,2,0,10,0,0.0,closed,False,False
25563,1,0,12,0,0.0,closed,False,False
25562,53,0,1,0,0.0,closed,True,True
25561,2,3,2,1,0.5,closed,False,False
25560,3,3,0,0,0.0,closed,True,True
25559,5,0,0,0,0.0,closed,True,True
25558,1,0,0,0,0.0,closed,True,True
25557,1,0,4,0,0.0,closed,False,False
25556,1,1,6,0,0.0,closed,False,False
25555,1,0,0,0,0.0,closed,True,True
25554,1,1,0,0,0.0,closed,True,True
25553,0,0,0,0,0.0,closed,False,False
25552,127,127,0,0,0.0,closed,False,False
25551,2,0,0,0,0.0,closed,True,True
25550,2,0,0,0,0.0,closed,True,True
25549,11,1,2,0,0.0,closed,False,False
25548,1,1,3,0,0.0,closed,True,True
25547,1,0,0,0,0.0,closed,True,True
25546,3545,0,5,0,0.0,closed,False,False
25545,2,0,3,0,0.0,closed,True,True
25544,1,0,0,0,0.0,closed,True,True
25543,19,132,9,0,0.0,closed,False,False
25542,1,0,4,0,0.0,closed,True,True
25541,2,2,1,0,0.0,closed,False,False
25540,3,0,0,0,0.0,closed,False,False
25539,1,1,0,0,0.0,closed,True,True
25538,1,1,0,0,0.0,closed,True,True
25537,2,2,0,0,0.0,closed,True,True
25536,183,0,4,0,0.0,closed,True,True
25535,0,1,2,0,0.0,closed,False,False
25534,92,0,62,0,0.0,closed,False,False
25533,1,1,0,0,0.0,closed,True,True
25532,0,1,9,0,0.0,closed,False,False
25531,1,0,0,0,0.0,closed,True,True
25530,0,1,0,0,0.0,closed,True,True
25529,1,1,0,0,0.0,closed,True,True
25528,1,1,0,3,1.0,closed,True,True
25527,1,0,2,0,0.0,closed,True,True
25526,0,0,0,0,0.0,closed,False,False
25525,1,0,2,0,0.0,closed,True,True
25524,38,0,15,0,0.0,closed,False,False
25523,1,0,0,0,0.0,closed,True,True
25522,1,0,0,0,0.0,closed,True,True
25521,1,0,0,0,0.0,closed,True,True
25520,4,4,0,0,0.0,closed,True,True
25519,1,1,3,0,0.0,closed,True,True
